’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,236,0,0,235,0,0,323,0,0,311,0,0,385,0,0,420,0,0,452,-0.62,8,8
,,,,,’g–[•‰‰×,0.74,-79,-267,0.73,-78,-265,0.72,-87,-360,0.71,-86,-340,0.7,-80,-395,0.71,-64,-417,0.72,-51,-425,0.7,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.68,79,0,0.64,100,0,0.64,110,0,0.65,124,0,0.71,67,0,0.66,106,0,0.69,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,318,0,0,435,0,0,365,0,0,429,0,0,340,0,0,447,0,0,357,-0.02,0,89
,,,,,’g–[•‰‰×,0.73,-44,-293,0.71,-48,-411,0.73,-48,-347,0.73,-43,-401,0.74,-32,-293,0.73,-29,-393,0.72,-38,-313,0.72,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.64,82,0,0.63,89,0,0.64,90,0,0.67,85,0,0.7,62,0,0.66,101,0,0.71,50,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,29,0,0,528,0,0,23,-1.97,-4,-4,0,0,29,1.04,1,73,1.02,14,90,1.27,-5,63
,,,,,’g–[•‰‰×,1,-35,-35,0.94,-51,-558,0.7,-46,-46,0.87,-20,-20,0.68,-32,-32,0.95,-30,-30,0.76,-36,-36,0.9,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.01,143,0,0.91,99,0,0.94,140,0,0.85,140,0,0.62,197,0,1.03,103,0,0.75,158,0,0.87,93,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,156,0,0,218,0,0,276,0,0,308,0,0,307,0,0,453,0,0,461,0,0,0
,,,,,’g–[•‰‰×,1.09,-316,-582,0.85,-452,-762,0.84,-401,-765,0.87,-385,-770,1.1,-233,-597,0.69,-430,-940,0.84,-238,-718,1.08,-56,-56
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.85,283,0,0.74,266,0,0.88,255,0,0.64,358,0,1.11,216,0,0.7,338,0,1.18,257,0,0.65,186,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,358,0,0,494,0,0,436,0,0,570,0,0,466,0,0,592,0,0,410,0,0,18
,,,,,’g–[•‰‰×,0.97,-124,-502,0.83,-153,-649,0.97,-111,-547,1.03,-79,-636,0.94,-59,-514,1.05,-53,-616,1.07,-73,-464,0.89,-58,-58
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.84,69,0,0.91,158,0,0.81,198,0,0.81,181,0,0.78,245,0,1.01,123,0,1.08,103,0,0.96,124,0
W‰ïŠ“™,‰®“àƒv[ƒ‹ŒöŽ®,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.25,-1,438,0,0,85,-0.03,0,78,0.12,8,106,0.42,14,139,0.64,13,142,0.53,13,158,0.75,6,132
,,,,,’g–[•‰‰×,0.73,-25,-450,0.74,-18,-18,0.74,-14,-14,0.77,-8,-8,0.73,-12,-12,0.67,-15,-15,0.74,-11,-11,0.69,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,56,0,0.65,80,0,0.65,67,0,0.65,69,0,0.65,60,0,0.72,42,0,0.67,70,0,0.74,39,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,235,0,0,234,0,0,323,0,0,310,0,0,385,0,0,420,0,0,452,-0.62,8,8
,,,,,’g–[•‰‰×,0.74,-79,-267,0.73,-78,-264,0.72,-87,-360,0.71,-86,-339,0.7,-80,-395,0.71,-64,-417,0.72,-51,-425,0.7,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.68,79,0,0.64,100,0,0.64,110,0,0.65,124,0,0.71,67,0,0.66,106,0,0.69,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,319,0,0,435,0,0,363,0,0,429,0,0,340,0,0,445,0,0,359,-0.02,0,89
,,,,,’g–[•‰‰×,0.73,-44,-293,0.71,-48,-411,0.73,-48,-346,0.73,-43,-401,0.74,-32,-294,0.73,-29,-392,0.72,-38,-314,0.72,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.64,82,0,0.63,89,0,0.64,90,0,0.67,85,0,0.7,62,0,0.66,101,0,0.71,50,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,30,0,0,526,0,0,24,-1.97,-4,-4,0,0,30,1.04,1,74,1.02,14,92,1.27,-5,64
,,,,,’g–[•‰‰×,1,-35,-35,0.94,-51,-556,0.7,-46,-46,0.87,-20,-20,0.68,-32,-32,0.95,-30,-30,0.76,-36,-36,0.9,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.01,143,0,0.91,99,0,0.94,140,0,0.85,140,0,0.62,197,0,1.03,103,0,0.75,158,0,0.87,93,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,155,0,0,217,0,0,275,0,0,307,0,0,305,0,0,454,0,0,460,0,0,0
,,,,,’g–[•‰‰×,1.09,-316,-581,0.85,-452,-760,0.84,-401,-764,0.87,-385,-769,1.1,-233,-596,0.69,-430,-940,0.84,-238,-716,1.08,-56,-56
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.85,283,0,0.74,266,0,0.88,255,0,0.64,358,0,1.11,216,0,0.7,338,0,1.18,257,0,0.65,186,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,357,0,0,494,0,0,435,0,0,571,0,0,466,0,0,596,0,0,408,0,0,19
,,,,,’g–[•‰‰×,0.97,-124,-500,0.83,-153,-648,0.97,-111,-545,1.03,-79,-636,0.94,-59,-513,1.05,-53,-620,1.07,-73,-462,0.89,-58,-58
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.84,69,0,0.91,158,0,0.81,198,0,0.81,181,0,0.78,245,0,1.01,123,0,1.08,103,0,0.96,124,0
W‰ïŠ“™,‰ž‰‡È,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.25,-1,102,0,0,235,-0.03,0,233,0.12,8,229,0.42,14,298,0.64,13,87,0.53,13,323,0.75,6,78
,,,,,’g–[•‰‰×,0.73,-25,-163,0.74,-18,-217,0.74,-14,-218,0.77,-8,-180,0.73,-12,-220,0.67,-15,-15,0.74,-11,-227,0.69,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,56,0,0.65,80,0,0.65,67,0,0.65,69,0,0.65,60,0,0.72,42,0,0.67,70,0,0.74,39,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,94,0,0,93,0,0,108,0,0,122,0,0,166,0,0,164,0,0,203,-0.62,8,173
,,,,,’g–[•‰‰×,0.74,-79,-176,0.73,-78,-173,0.72,-87,-194,0.71,-86,-201,0.7,-80,-225,0.71,-64,-210,0.72,-51,-225,0.7,-22,-262
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.68,79,0,0.64,100,0,0.64,110,0,0.65,124,0,0.71,67,0,0.66,106,0,0.69,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,144,0,0,159,0,0,26,0,0,172,0,0,152,0,0,210,0,0,195,-0.02,0,292
,,,,,’g–[•‰‰×,0.73,-44,-167,0.71,-48,-184,0.73,-48,-48,0.73,-43,-193,0.74,-32,-155,0.73,-29,-205,0.72,-38,-200,0.72,-14,-266
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.64,82,0,0.63,89,0,0.64,90,0,0.67,85,0,0.7,62,0,0.66,101,0,0.71,50,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,385,0,0,179,0,0,32,-1.97,-4,-4,0,0,38,1.04,1,85,1.02,14,104,1.27,-5,74
,,,,,’g–[•‰‰×,1,-35,-382,0.94,-51,-200,0.7,-46,-46,0.87,-20,-20,0.68,-32,-32,0.95,-30,-30,0.76,-36,-36,0.9,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.01,143,0,0.91,99,0,0.94,140,0,0.85,140,0,0.62,197,0,1.03,103,0,0.75,158,0,0.87,93,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,49,0,0,70,0,0,119,0,0,119,0,0,129,0,0,223,0,0,182,0,0,352
,,,,,’g–[•‰‰×,1.09,-316,-448,0.85,-452,-586,0.84,-401,-577,0.87,-385,-550,1.1,-233,-388,0.69,-430,-679,0.84,-238,-419,1.08,-56,-390
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.85,283,0,0.74,266,0,0.88,255,0,0.64,358,0,1.11,216,0,0.7,338,0,1.18,257,0,0.65,186,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,117,0,0,154,0,0,158,0,0,259,0,0,131,0,0,323,0,0,156,0,0,297
,,,,,’g–[•‰‰×,0.97,-124,-252,0.83,-153,-300,0.97,-111,-265,1.03,-79,-321,0.94,-59,-176,1.05,-53,-343,1.07,-73,-202,0.89,-58,-329
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.84,69,0,0.91,158,0,0.81,198,0,0.81,181,0,0.78,245,0,1.01,123,0,1.08,103,0,0.96,124,0
W‰ïŠ“™,ƒƒr[‘ÌˆçŠÙ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.25,-1,25,0,0,130,-0.03,0,111,0.12,8,134,0.42,14,185,0.64,13,227,0.53,13,206,0.75,6,71
,,,,,’g–[•‰‰×,0.73,-25,-92,0.74,-18,-118,0.74,-14,-102,0.77,-8,-91,0.73,-12,-112,0.67,-15,-161,0.74,-11,-118,0.69,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,56,0,0.65,80,0,0.65,67,0,0.65,69,0,0.65,60,0,0.72,42,0,0.67,70,0,0.74,39,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,64,0,0,58,0,0,62,0,0,73,0,0,103,0,0,89,0,0,118,-0.62,8,45
,,,,,’g–[•‰‰×,0.74,-79,-151,0.73,-78,-144,0.72,-87,-153,0.71,-86,-157,0.7,-80,-167,0.71,-64,-140,0.72,-51,-146,0.7,-22,-140
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.68,79,0,0.64,100,0,0.64,110,0,0.65,124,0,0.71,67,0,0.66,106,0,0.69,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,81,0,0,89,0,0,79,0,0,95,0,0,91,0,0,123,0,0,116,-0.02,0,158
,,,,,’g–[•‰‰×,0.73,-44,-109,0.71,-48,-120,0.73,-48,-116,0.73,-43,-121,0.74,-32,-99,0.73,-29,-123,0.72,-38,-127,0.72,-14,-138
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.64,82,0,0.63,89,0,0.64,90,0,0.67,85,0,0.7,62,0,0.66,101,0,0.71,50,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,263,0,0,79,0,0,180,-1.97,-4,-4,0,0,31,1.04,1,76,1.02,14,309,1.27,-5,66
,,,,,’g–[•‰‰×,1,-35,-266,0.94,-51,-107,0.7,-46,-201,0.87,-20,-20,0.68,-32,-32,0.95,-30,-30,0.76,-36,-206,0.9,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.01,143,0,0.91,99,0,0.94,140,0,0.85,140,0,0.62,197,0,1.03,103,0,0.75,158,0,0.87,93,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,22,0,0,34,0,0,73,0,0,63,0,0,91,0,0,152,0,0,107,0,0,237
,,,,,’g–[•‰‰×,1.09,-316,-418,0.85,-452,-547,0.84,-401,-525,0.87,-385,-488,1.1,-233,-345,0.69,-430,-602,0.84,-238,-347,1.08,-56,-278
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.85,283,0,0.74,266,0,0.88,255,0,0.64,358,0,1.11,216,0,0.7,338,0,1.18,257,0,0.65,186,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,52,0,0,71,0,0,85,0,0,154,0,0,79,0,0,206,0,0,119,0,0,150
,,,,,’g–[•‰‰×,0.97,-124,-195,0.83,-153,-224,0.97,-111,-195,1.03,-79,-219,0.94,-59,-126,1.05,-53,-229,1.07,-73,-170,0.89,-58,-188
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.84,69,0,0.91,158,0,0.81,198,0,0.81,181,0,0.78,245,0,1.01,123,0,1.08,103,0,0.96,124,0
W‰ïŠ“™,‰·—Ž{Ý,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,5,111,0,0,145,-0.02,1,115,0.13,9,131,0.45,15,190,0.69,13,245,0.58,14,237,0.78,6,237
,,,,,’g–[•‰‰×,0.77,-21,-92,0.78,-16,-129,0.78,-12,-98,0.8,-7,-82,0.77,-11,-111,0.71,-15,-176,0.78,-11,-142,0.74,-7,-182
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,49,0,0.74,44,0,0.73,39,0,0.73,41,0,0.73,36,0,0.75,37,0,0.75,38,0,0.76,34,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,68,0,0,60,0,0,65,0,0,71,0,0,93,0,0,93,0,0,116,-0.18,7,131
,,,,,’g–[•‰‰×,0.78,-68,-144,0.77,-68,-134,0.76,-75,-143,0.76,-74,-142,0.75,-69,-144,0.76,-55,-134,0.76,-43,-133,0.75,-19,-146
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,51,0,0.75,46,0,0.72,61,0,0.71,69,0,0.74,67,0,0.74,57,0,0.74,62,0,0.72,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,85,0,0,95,0,0,80,0,0,108,0,0,85,0,0,130,0,0,103,-0.03,1,160
,,,,,’g–[•‰‰×,0.77,-38,-105,0.76,-40,-117,0.77,-41,-110,0.78,-36,-125,0.78,-26,-86,0.78,-23,-123,0.77,-32,-106,0.78,-11,-138
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,42,0,0.72,50,0,0.71,56,0,0.73,52,0,0.74,48,0,0.73,54,0,0.75,57,0,0.75,42,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,375,0,0,193,0,0,201,-2.11,-4,-4,0,0,208,1.09,1,265,1.08,15,335,1.36,-5,237
,,,,,’g–[•‰‰×,1.08,-34,-201,1.02,-51,-51,0.79,-44,-44,0.96,-21,-21,0.77,-31,-31,1.03,-29,-29,0.9,-15,-15,0.43,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.06,140,0,1.01,69,0,1.03,124,0,0.96,111,0,0.69,186,0,1.09,101,0,0.84,130,0,0.91,98,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,58,0,0,99,0,0,146,0,0,194,0,0,204,0,0,255,0,0,203,0,0,394
,,,,,’g–[•‰‰×,1.19,-312,-312,0.92,-465,-465,0.92,-410,-410,0.96,-392,-392,1.23,-216,-216,0.75,-448,-448,0.94,-227,-227,1.16,-53,-216
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.9,289,0,0.81,254,0,1,223,0,0.72,335,0,1.3,131,0,0.74,354,0,1.35,212,0,0.69,189,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,126,0,0,168,0,0,163,0,0,200,0,0,172,0,0,210,0,0,193,0,0,196
,,,,,’g–[•‰‰×,1.05,-123,-123,0.92,-145,-145,1.05,-90,-90,1.12,-65,-81,1.15,-25,-25,0.92,-78,-78,1.15,-70,-70,0.97,-57,-57
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.89,65,0,0.99,142,0,0.81,185,0,0.67,208,0,1.42,176,0,0.94,151,0,1.26,16,0,1.02,119,0
W‰ïŠ“™,‰f‰æŠÙ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,6,268,0,0,312,-0.02,1,315,0.14,9,318,0.42,16,405,0.69,13,96,0.56,14,427,0.79,6,87
,,,,,’g–[•‰‰×,0.79,-18,-231,0.8,-14,-283,0.8,-10,-288,0.82,-7,-259,0.79,-10,-319,0.72,-15,-15,0.78,-11,-323,0.76,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,47,0,0.69,73,0,0.69,61,0,0.69,64,0,0.69,56,0,0.75,37,0,0.7,65,0,0.77,33,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,140,0,0,138,0,0,159,0,0,173,0,0,221,0,0,230,0,0,272,-0.16,8,356
,,,,,’g–[•‰‰×,0.79,-65,-199,0.79,-63,-192,0.78,-69,-221,0.77,-67,-228,0.77,-60,-253,0.78,-49,-255,0.78,-39,-278,0.78,-16,-357
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,52,0,0.71,73,0,0.68,87,0,0.67,101,0,0.7,112,0,0.75,57,0,0.69,98,0,0.73,41,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,201,0,0,226,0,0,200,0,0,252,0,0,210,0,0,278,0,0,269,-0.03,1,45
,,,,,’g–[•‰‰×,0.79,-34,-209,0.78,-37,-235,0.79,-38,-217,0.79,-32,-256,0.8,-24,-199,0.8,-21,-259,0.79,-29,-260,0.79,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,42,0,0.68,74,0,0.67,80,0,0.68,81,0,0.7,78,0,0.74,53,0,0.7,93,0,0.76,42,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,6,123,0,0,149,-0.02,1,132,0.14,9,149,0.42,16,219,0.69,13,301,0.56,14,252,0.79,6,106
,,,,,’g–[•‰‰×,0.79,-18,-67,0.8,-14,-102,0.8,-10,-85,0.82,-7,-71,0.79,-10,-114,0.72,-15,-202,0.78,-11,-131,0.76,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,47,0,0.69,73,0,0.69,61,0,0.69,64,0,0.69,56,0,0.75,37,0,0.7,65,0,0.77,33,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,83,0,0,74,0,0,76,0,0,88,0,0,120,0,0,108,0,0,139,-0.16,8,145
,,,,,’g–[•‰‰×,0.79,-65,-125,0.79,-63,-111,0.78,-69,-121,0.77,-67,-124,0.77,-60,-134,0.78,-49,-114,0.78,-39,-125,0.78,-16,-126
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,52,0,0.71,73,0,0.68,87,0,0.67,101,0,0.7,112,0,0.75,57,0,0.69,98,0,0.73,41,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,96,0,0,110,0,0,98,0,0,117,0,0,106,0,0,144,0,0,134,-0.03,1,200
,,,,,’g–[•‰‰×,0.79,-34,-85,0.78,-37,-100,0.79,-38,-95,0.79,-32,-101,0.8,-24,-76,0.8,-21,-105,0.79,-29,-105,0.79,-11,-147
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,42,0,0.68,74,0,0.67,80,0,0.68,81,0,0.7,78,0,0.74,53,0,0.7,93,0,0.76,42,0
W‰ïŠ“™,}‘ŠÙ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.52,-4,-4,0,0,179,-0.01,0,145,0.1,7,169,0.39,13,238,0.6,13,63,0.45,13,245,0.73,7,54
,,,,,’g–[•‰‰×,0.7,-33,-121,0.72,-22,-182,0.7,-18,-147,0.75,-9,-141,0.69,-15,-186,0.63,-14,-14,0.72,-12,-179,0.66,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,73,0,0.64,87,0,0.65,73,0,0.62,81,0,0.63,69,0,0.68,53,0,0.64,80,0,0.72,49,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,74,0,0,66,0,0,76,0,0,87,0,0,128,0,0,114,0,0,145,-0.66,7,68
,,,,,’g–[•‰‰×,0.69,-109,-202,0.69,-104,-189,0.67,-113,-204,0.66,-111,-206,0.65,-105,-228,0.68,-83,-195,0.68,-67,-201,0.66,-28,-187
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,70,0,0.65,91,0,0.61,113,0,0.61,127,0,0.63,135,0,0.68,84,0,0.63,123,0,0.66,61,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,99,0,0,119,0,0,102,0,0,120,0,0,120,0,0,167,0,0,143,0,0,219
,,,,,’g–[•‰‰×,0.69,-55,-150,0.66,-64,-179,0.69,-62,-165,0.69,-56,-171,0.7,-42,-150,0.69,-36,-187,0.69,-50,-178,0.67,-21,-214
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,66,0,0.6,96,0,0.6,101,0,0.62,101,0,0.65,92,0,0.68,72,0,0.64,113,0,0.69,62,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.1,-2,136,0,0,140,0,0,237,-0.41,1,114,0.31,6,218,0.64,17,292,1.13,7,325,0.96,6,56
,,,,,’g–[•‰‰×,0.84,-43,-202,0.92,-40,-169,0.87,-48,-269,0.94,-18,-180,0.91,-29,-190,0.82,-46,-261,0.89,-30,-217,0.8,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.83,137,0,0.78,125,0,0.75,138,0,0.78,126,0,0.71,146,0,0.9,94,0,0.75,146,0,0.91,73,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,68,0,0,70,0,0,57,0,0,82,0,0,96,0,0,122,0,0,209,0,0,208
,,,,,’g–[•‰‰×,0.93,-211,-326,0.85,-249,-363,0.83,-246,-344,0.81,-269,-384,0.89,-196,-308,0.76,-225,-363,0.81,-135,-340,0.82,-52,-250
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,176,0,0.69,205,0,0.71,229,0,0.56,299,0,0.79,299,0,0.8,196,0,0.71,238,0,0.67,136,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,130,0,0,90,0,0,80,0,0,141,0,0,159,0,0,227,0,0,206,0,0,222
,,,,,’g–[•‰‰×,0.89,-115,-252,0.81,-112,-207,0.87,-108,-197,0.89,-92,-234,0.91,-64,-216,0.91,-78,-290,0.84,-97,-291,0.89,-27,-228
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.88,80,0,0.86,140,0,0.71,190,0,0.76,163,0,0.72,186,0,0.8,138,0,0.75,211,0,0.8,152,0
W‰ïŠ“™,”Ž•¨ŠÙ,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.41,-4,-4,0,0,94,0,0,71,0.07,6,100,0.34,11,135,0.52,13,156,0.38,12,151,0.66,8,163
,,,,,’g–[•‰‰×,0.63,-39,-90,0.66,-26,-104,0.64,-22,-78,0.7,-11,-82,0.64,-17,-95,0.58,-16,-114,0.67,-14,-99,0.59,-9,-126
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.6,80,0,0.59,91,0,0.59,79,0,0.57,85,0,0.58,73,0,0.63,60,0,0.59,85,0,0.66,56,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,45,0,0,40,0,0,44,0,0,54,0,0,87,0,0,66,0,0,89,-0.6,7,7
,,,,,’g–[•‰‰×,0.63,-124,-189,0.63,-120,-179,0.61,-129,-189,0.6,-126,-191,0.59,-120,-204,0.61,-95,-162,0.61,-78,-159,0.59,-32,-113
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,76,0,0.61,96,0,0.57,118,0,0.56,134,0,0.59,141,0,0.63,93,0,0.58,132,0,0.6,68,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,54,0,0,62,0,0,56,0,0,67,0,0,68,0,0,98,0,0,94,0,0,113
,,,,,’g–[•‰‰×,0.63,-64,-117,0.6,-74,-134,0.63,-71,-130,0.63,-65,-129,0.64,-48,-107,0.63,-42,-126,0.63,-58,-139,0.6,-25,-116
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,74,0,0.55,102,0,0.55,107,0,0.57,107,0,0.61,96,0,0.63,80,0,0.6,119,0,0.64,69,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.12,-3,64,0,0,85,0,0,151,-0.36,1,60,0.31,6,140,0.53,17,179,1,7,224,0.85,6,46
,,,,,’g–[•‰‰×,0.74,-45,-140,0.82,-42,-120,0.78,-48,-188,0.84,-18,-124,0.8,-31,-119,0.7,-49,-160,0.79,-30,-143,0.7,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,132,0,0.71,122,0,0.68,132,0,0.71,122,0,0.64,139,0,0.8,94,0,0.67,141,0,0.81,74,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,48,0,0,41,0,0,28,0,0,45,0,0,62,0,0,76,0,0,150,0,0,124
,,,,,’g–[•‰‰×,0.82,-216,-308,0.74,-246,-330,0.72,-245,-311,0.71,-266,-343,0.77,-201,-278,0.67,-217,-309,0.71,-137,-287,0.72,-53,-171
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,169,0,0.64,192,0,0.65,217,0,0.51,280,0,0.71,289,0,0.73,184,0,0.64,227,0,0.6,131,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,86,0,0,51,0,0,51,0,0,87,0,0,104,0,0,155,0,0,142,0,0,126
